index,customer_query,generated_reply,actual_reply,human_helpfulness,human_tone,human_groundedness,human_notes
23,Dear your iOS update 11.2 broke my visual voicemail. [URL],"Dear Customer, we apologize for any inconvenience caused by the iOS update. To resolve the issue with your Visual Voicemail, please try restarting your iPhone. If the problem persists, kindly provide us with your device model and the specific steps to reproduce the issue at...","Thanks for reaching out. Since the update have you completed a normal restart of your iPhone? If not, do so now and let us know the results. We want to ensure your visual voicemail is working again.",,,,
55,i just got the iphone 8 plus last week &amp; it’s freezing so much... wtf.. a $900 phone should not be freezing this much..,"Dear customer, we understand how frustrating it can be when your device isn't performing as expected. To assist you effectively, please provide us with the iOS version by going to Settings > General > About. Once we have that information, we can guide you through troubleshooting...",We're happy to help. DM us and let us know if the issue occurs in a specific app. We can go from there. [URL],,,,
59,So the new iOS11 feature that stops apps from requesting rating reviews is working great. And by that I mean #notworkingatall,"Dear customer, we understand how frustrating this must be. To troubleshoot, please make sure you've updated your iPhone to the latest version of iOS. If the issue persists, kindly send us a direct message with your contact information and device details, and our team will be...","We're here to help. Let's check Settings &gt; iTunes &amp; App Store. Is the ""In-App Ratings and Reviews"" switch already off?",,,,
129,"nice to have a new visual update to the Apple Support app. Just a shame I still can’t actually get connected to Apple Support (it’s NEVER worked for me, since launch). [URL]","Dear customer, we apologize for any frustration you've experienced with the Apple Support app. Let's resolve this issue together. Please DM us with the following information: iPhone model and whether you've updated to iOS 11.1. We're here to help! 📲📱 [URL]",The Apple Support app can be very helpful. We'll be glad to help you gain access to it. Let's start working on this in DM. [URL],,,,
154,Just connected to a Bluetooth speaker and my phone thinks I’m driving. Why? What types of devices are looking for when they invoke Safe Driving.,"Hello! To resolve the issue with your Bluetooth connection, please update your iOS to the latest version by going to Settings > General > Software Update. After the update is complete, restart both your device and car, and check if the problem persists. If you still experience...","Hi there. We'd like to help with this. Let's take a look at your Settings &gt; Do Not Disturb &gt; Activate. Is it set to ""when connected to car Bluetooth?"" Let us know.",,,,
197,if i’m pre ordering the iPhone X would i have to pre order it from my carrier company to pay for it w a plan and not all at once?,"Dear customer, thank you for your inquiry about purchasing the iPhone X. To ensure you receive the correct guidance, please contact our Sales Support team at the following link: [URL]. They will assist you in choosing the suitable option based on your needs and location. Happy to help! 📲💻",We're excited about the iPhone X and want to answer your questions. Reach out to our Sales team: [URL],,,,
143,please my iphone can't activate i tried more than 100 times what could wrong it started after resorting to put a new account,"Dear customer, we understand how frustrating this issue might be. To resolve your activation problem, please follow these steps:

1. Restart your iPhone: Press and hold the Side button until ""Slide to Power Off"" appears, then slide it. After the device turns off, press the Side...","We've received your DM, and we'll be happy to follow up with you there.",,,,
50,fix ur shit i’m tired of typing i️ and boxes coming up,"Dear customer, we understand your frustration and apologize for the inconvenience. To resolve the issue, kindly follow these steps: 1. Restart your device, 2. Update your software, and 3. Check for keyboard settings. If the problem persists, please feel free to DM us for further...",We want your keyboard working for you; we'll do all we can to help. Let's try these steps: [URL],,,,
166,PLEASE FIX THIS I️ BUG 🤦🏽♂️😬🤨#ATLvsCAR,"Dear customer, we understand your frustration with the I️ issue you're experiencing. To help you continue using your device until we release a software update, please try this workaround: [URL]. If you need further assistance, feel free to DM us for personalized help. [URL]",Here’s what you can do to work around the issue until it’s fixed in a future software update: [URL],,,,
191,Why does my iPhone 7 create a question mark every time I️ use the letter “I️” ughhh,"Hello! I understand how frustrating that can be. To resolve the issue with the letter 'I' showing as 'A followed by a question mark', try restarting your iPhone 7. If the problem persists, kindly provide the iOS version by replying with the following text: ""Apple Support, please...",Here’s what you can do to work around the issue until it’s fixed in a future software update: [URL],,,,
107,i have an issue with ios11 iphone6s not ‘seeing’ imac in airdrop. Apparently im not alone. Is there a fix?,"Dear Customer, we understand your concern about not being able to use AirDrop between your iPhone X and another iPhone X. To help resolve this issue, please ensure that both devices have the 'Find My [device]' toggle turned off in Settings > [device name] > iCloud. If that...",DM and tell us which version of iOS 11 you see under Settings &gt; General &gt; About &gt; Version. We'll meet you there to help. [URL],,,,
56,Happy birthday to one of my besties!!!!! Love you,"Dear customer, happy birthday in advance! We're glad you reached out. To assist you better, please try the steps in this guide and DM us the details: [URL]. If the issue persists, we're here to help. Happy birthday and have a great day! 🎉🎁🎂",Here’s what you can do as a work around until it’s fixed in a future software update: [URL] DM us questions. [URL],,,,
114,11.03 is making my phone super buggy. Glitchy. Apps crashing. Screen going blank. Unresponsive touch.,"Dear customer, we understand how frustrating these issues can be. To better assist you, please DM us the model of your iPhone, as well as any error messages displayed. We'll guide you through troubleshooting steps to help resolve the problems you're experiencing. Stay connected...","That's certainly not the experience we want you to have. Please send us a DM with which iPhone you have, and we'll continue there. [URL]",,,,
150,My iphone SE is now on IOS 11.02 and often slows down/freezes. Switches to/from data/wifi and loses wifi password #ios11update,"Dear customer, we understand your frustration with the issues you've been experiencing with iOS 11.1.2 on your iPhone SE. To assist you effectively, please provide the following information:

1. What is the exact model of your iPhone SE?
2. Have you tried restarting your device?...",We'd like to take a closer look at the issue. Please DM us any troubleshooting steps you've already tried. [URL],,,,
71,The random capitalization of words like “flight” and “gate” is super annoying . *see attached [URL],"Dear Customer, we apologize for any inconvenience the random capitalization might be causing you. To resolve this issue, please update your device to the latest version of iOS by following these steps: [URL]. If the problem persists, kindly provide more details by replying with...",Let's take a look. Do you have any Text Replacements set up that could be suggesting this correction?,,,,
1,Thanks to IOS 11 my phone is a Payphone because I have it on the charger 20 hours a day fuck you,"Customer, we truly understand how frustrating this situation must be for you. Please private message us with your iPhone model, and we'll guide you through troubleshooting steps to resolve the charging issue with iOS 11. Rest assured, we're here to help and get your device back...",This is not the experience we want you to have. Which iPhone model do you own?,,,,
40,send help because ever since I updated my phone it is trash. Straight trash. After I post this and switch apps. I’ll have to reset,"Dear customer, we understand how frustrating this issue might be. To assist you effectively, please kindly DM us with your contact information and a brief description of the problem you're experiencing. Rest assured, we'll do our best to help and resolve any concerns you have....","Hey, we can work with you to see what's going on with your iPhone. Please send us a DM and we'll work together. [URL]",,,,
185,Apple really out here making me think my phone bout to stop working with the constant crashing of apps and my phone just going black at random intervals in the day ... GET YOUR LIFE,"Dear customer, we understand how frustrating it can be when your device experiences issues. To assist you effectively, please confirm if your iPhone is shutting down randomly or if apps are unexpectedly closing. Providing your iOS version will also help guide our solutions....",We want to help get your iPhone running at 100% again. DM us details on what exactly you are seeing happen and we'll do all we can to assist. [URL],,,,
87,WTF!! this update is BULLSHIT my battery is fkn fried I literally unplug it and it drops to 70% FIX THIS SHIT! #iphone #iosfail #ios1111 #iphonefail,"Dear Customer, we apologize for any inconvenience the iOS 11 update has caused. To assist you effectively, please DM us with the following information: device model and current iOS version. We'll be glad to guide you through troubleshooting steps. Thank you! 📲💻",We’re happy to look into issues with your battery draining more quickly than expected. Let’s start here by comparing your settings to these settings for maximizing battery performance: [URL],,,,
168,Still waiting for an iOS update that’ll fix all this nonsense,"Dear customer, we understand your frustration with the ongoing issues. Kindly private message us with your device details and the specific problems you're experiencing. Our team will gladly assist you in resolving the concerns. Best regards, Apple Support.",Please let us know what's going on with your iOS device. We'd love to offer our assistance.,,,,
39,I updated my phone and it’s a hot ass mess now,"Dear customer, we're truly sorry for the trouble you're experiencing after the update. To better assist you, please DM us the following information: iOS version, iPhone model, and a detailed description of the issues you're facing. Our team will be happy to investigate and guide...",We're happy to help you with this. DM us the details of what you are experiencing here: [URL],,,,
181,I’m wondering if #280characters is twitter’s way of making sure we no longer have Trump tweeting out a terrifying half-sentence and not completing it for another ten minutes as the world waits to see if there’s going to be a nuclear war or not. Okay I️ used all the characters.,"Dear customer, we understand your concern about the character limitation on Twitter. Rest assured, Apple prioritizes user experience and safety. To address your issue, please ensure you have the latest iOS version installed. If you haven't updated, kindly go to Settings >...",We're here to help DM us so that we can look more into this issue with you. Which iOS version do you have? [URL],,,,
86,you guys are killing me right now!!!!!!!,"Customer, we understand your frustration and apologize for any inconvenience. Please DM us with your device details and the issue you're experiencing, so we can assist you promptly. We're here to help! [URL_0",We want your experience to be a good one. What's going on?,,,,
190,why release an ios that freezes your BRAND NEW phone smh,"Dear customer, we apologize for any frustration the iOS update has caused you. To better assist you, please provide the model of your iPhone and the current iOS version. Let's discuss this privately in Direct Messages. Thank you!",We want you to get the most out of your new iPhone. Which model are you using? DM us and let us know. [URL],,,,
182,"Quase todas as minhas fotos sumiram do meu celular mas tão no icloud, como recupero isso??","Customer, I understand that your photos disappearing from iCloud is causing concern. To better assist you, please check if your iCloud Photos is properly enabled on your iPhone. If not, follow these steps to fix the issue: 1. Go to Settings > Your Name > iCloud; 2. Toggle on...","Since our Twitter support is available in English, get help at [URL] or join [URL]",,,,
97,the latest update is a nightmare. Frozen screens not had before. No alerts on emails. Jumping ahead at the slightest touch,"Dear customer, we understand how frustrating these issues can be. Please provide us with more information by replying directly to this message. Let's work together to identify the problem and find a solution for your device. Thank you for your patience, and we apologize for any...",We're here for you. Please DM some further details and we can go from there together. [URL],,,,
24,FIX THIS BATTERY ISSUE I’M SICK OF LOSING CHARGE.,"Dear customer, we understand your frustration with the battery issue, and we're here to assist you. To help resolve this, please DM us the following information: iOS version and your device model. We'll do our best to resolve the problem for you. [URL_0]","We want you to have a good experience, especially with your battery. Let's take a look together and get to the bottom of it. What version of iOS are you using with your Apple device? Here's where to find it: [URL]",,,,
91,my phone was messing up so I turned it off and on and saw that 1000 of my photos have just disappeared?????????? Wtf???? [URL],"Dear Customer, we sincerely apologize for the inconvenience you're facing with your photos disappearing. To better assist you, kindly send us a Direct Message with more details about the issue. Our team will guide you through the necessary steps to resolve this matter. [URL]",Thanks for reaching out. We're here to help. DM us so we can look into this further with you. [URL],,,,
88,"Too late sound works 50% of time, apps crashing constantly. #getagrip #Apple !! [URL]","Dear Customer, we understand how frustrating this issue must be. To better assist you, kindly send us a Direct Message so we can guide you through troubleshooting steps, including restarting your device. We're here to help resolve this and ensure your Apple experience is smooth...","We'd like to look this over with you. Please meet us in DM so we may gather information, and better assist. [URL]",,,,
67,You know y’all need to get this keyboard together! It’s like reading hieroglyphics sometimes with this glitch! 👊🏾,"Dear customer, we sincerely apologize for the inconvenience caused by the keyboard issue. Let's work together to resolve this. Please private message us with more details about the problem, including your device model and current software version. Our team will assist you...",We're here to help. Join us in DM and we'll continue there. [URL],,,,
11,I’m disgusted. The 11.0 updates were nothing but viruses! My iPhone 6plus is all messed up. Please help!,"Dear customer, we apologize for any inconvenience the update has caused. To assist you effectively, please DM us the following details: 1) What issues are you facing with your iPhone 6s Plus? 2) Have you attempted to restore your device? Providing this information will help us...","We'd love to help. DM us what issues you're seeing, and if you've updated to 11.1 and we'll team up to get them resolved. [URL]",,,,
117,ame della mi spiegate per quale fottuto motivo il mio iPad mini di prima generazione è oramai praticamente inutilizzabile? lento e si connette con difficoltà a internet. neanche il ripristino ne pone rimedio,"Customer, we understand how frustrating it can be to experience issues after software updates. To better assist you, please provide your device model and iOS version. Once we have that information, we'll guide you through troubleshooting steps to resolve the issues you're...",We offer support via Twitter in English. Contact us for help in your preferred language here: [URL],,,,
137,What in the fuck is this I️ glitch is that like your new thing #iGlitch,"Dear customer, we apologize for any inconvenience caused by the glitch you're experiencing with the letter 'i'. To help resolve this issue, please follow these steps:

1. Restart your device: Press and hold the Power/Sleep button until ""Slide to Power Off"" appears, then slide it...",We can work toward a solution together. DM us and we'll get started. [URL],,,,
